coupling,mean_order_last,mean_rho_last,max_mean_rho
0.0,0.14477765298033918,0.0,0.22000000000000003
0.009090909090909092,0.22668975156788718,0.0,0.22000000000000003
0.018181818181818184,0.2494431402252321,0.0,0.22000000000000003
0.027272727272727275,0.2112367059301225,0.0,0.22000000000000003
0.03636363636363637,0.18084666999853552,0.0,0.22000000000000003
0.04545454545454546,0.2863108090123934,0.0,0.22000000000000003
0.05454545454545455,0.43458178424112665,0.00032301968226847784,0.22000000000000003
0.06363636363636364,0.4018422937656719,0.007917235692740136,0.22000000000000003
0.07272727272727274,0.47965947174510815,0.025331220435944858,0.22000000000000003
0.08181818181818183,0.4561303393859603,0.02892548808366188,0.22000000000000003
0.09090909090909093,0.38869159700332856,0.025862907498372088,0.22000000000000003
0.1,0.2634609741419531,0.005513942908250513,0.22000000000000003
